Nom;Libellé;gest
account-conf;Configuration;
account-conf-analytic;Analytique;
account-conf-analytic-account;Comptes analytiques;
account-conf-analytic-accounting-plan;Plan de comptes analytiques;
account-conf-analytic-axis;Axe analytique;
account-conf-analytic-journal;Journaux analytiques;
account-conf-analytic-move-line;Lignes d'Ecr. Analytique;
account-conf-bank-order;Ordre bancaire;
account-conf-bank-order-bank-order-economic-reason;Raisons économiques (Ordre bancaire);
account-conf-bank-order-bank-order-file-format;Formats de fichier bancaire;
account-conf-cash-register;Caisses;
account-conf-ebics;Ebics;
account-conf-ebics-ebics-bank;Banques Ebics;
account-conf-ebics-ebics-certificate;Ebics certificates;
account-conf-ebics-ebics-partner;Contrats Ebics;
account-conf-ebics-ebics-transfer-state;Statuts des virements Ebics;
account-conf-ebics-ebics-user;Utilisateurs Ebics;
account-conf-financial;Financière;
account-conf-financial-account;Comptes comptables;
account-conf-financial-account-management;Paramétrages de compte comptable;
account-conf-financial-account-type;Types de compte;
account-conf-financial-accounting-plan;Plan comptable;
account-conf-financial-journal;Journaux;
account-conf-financial-journal-type;Types de journaux;
account-conf-financial-period;Périodes comptables;
account-conf-financial-tax;Taxes;
account-conf-financial-year;Années fiscales;
account-conf-fiscal-position;Positions fiscales;
account-conf-payment;Paiement;
account-conf-payment-paybox;Paybox;
account-conf-payment-payment-condition;Conditions de paiement;
account-conf-payment-payment-mode;Modes de paiements;
account-conf-reporting;Rapports / Exports;
account-conf-reporting-interbank-code;Listes des codes motifs de rejet/retour ;
account-root;Comptabilité;
account-root-accounting;Exports/Rapports comptables;
account-root-accounting-accounting-exports;Exports comptables;
account-root-accounting-accounting-reports;Rapports comptables;
account-root-accounting-reimbursement;Remboursements;
account-root-bank-order-awaiting-for-signature;Ordres Bancaires en attente de signature;
account-root-bank-order-bank-to-bank-transfer;Virements Banque à Banque;
account-root-bank-order-credit-transfer;Virements;
account-root-bank-order-direct-debit;Prélèvements;
account-root-bank-order-international-bank-to-bank-transfer;Virements de tréso. internationaux;
account-root-bank-order-international-credit-transfer;Virements internationaux;
account-root-bank-order-international-direct-debit;Prélèvements internationaux;
account-root-bank-order-send-a-bank-order;Send a Bank Order;
account-root-bank-order-sepa-bank-to-bank-transfer;National Bank to Bank Transfers;
account-root-bank-order-sepa-direct-debit;Prélèvements SEPA;
account-root-bank-orders;Ordres Bancaires;
account-root-bank-statement;Rapprochement bancaire;
account-root-bank-statement-bank-statement;Rapprochement bancaire;
account-root-bank-statement-bank-statement-line;Ligne du relevé de compte;
account-root-budget-management;Préparation budgétaire;
account-root-budget-management-all-budgets;Tous les budgets;
account-root-budget-management-my-budgets;Mes budgets;
account-root-debt-recovery;Recouvrement;
account-root-move;Ecritures;
account-root-move-move;Ecritures;
account-root-move-move-line;Lignes d'écritures;
account-root-payment-schedule;Echéanciers;
account-root-payment-schedule-payment-schedule;Echéanciers;
account-root-payment-schedule-payment-schedule-line;Ligne d'échéanciers de paiement;
account-root-payments;Paiements;
account-root-payments-new-cust-payment;Créer Paiement Client;
account-root-payments-new-cust-refund;Remb. Avoir Client;
account-root-payments-new-suppl-payment;Payer Fact. Fourn.;
account-root-payments-new-suppl-refund;Créer Avoir Fourn.;
account-root-payments-payment-voucher;Les Saisies paiements;
account-root-periodic-processing;Traitements Périodiques;
account-root-periodic-processing-cash-register-closure;Fermetures Caisses;
account-root-periodic-processing-cheque-reject;Rejets de chèques;
account-root-periodic-processing-overpayment-clearances;Apurements de trop-perçu;
account-root-periodic-processing-reconcile;Réconciliations;
account-root-periodic-processing-shift-irrecoverable;Passage en irrécouvrable;
account-root-report;Rapports;
account.bank.order.sepa.credit.transfert;Virements SEPA;
adherent-root;Suivi adhérent;x
admin-conf-general;Données générales;
admin-conf-general-currency;Devises;
admin-conf-general-keyword;Mots clés;
admin-conf-general-sequence-generic;Séquences;
admin-conf-general-unit;Unités;
admin-conf-general-unit-conversion;Conversions d'unités;
admin-conf-general-year;Années;
admin-root;Config applicative;
admin-root-batch;Traitements de masse;
admin-root-batch-accounting;Batchs de comptabilité;
admin-root-batch-base;Traitements de masse module Base;
admin-root-batch-crm;Batchs CRM;
admin-root-batch-mail;Mail batches;
admin-root-batch-purchase;Batchs liés aux Achats;
admin-root-batch-sale;Batchs Ventes;
admin-root-batch-stock;Traitements de masse Stock;
admin-root-batch-supplychain;Supplychain batches;
